lat,lon,count
40.664,-73.982,3
40.89,-73.911,1
40.664,-73.983,4
40.778,-73.99,2
40.789,-73.98,27
40.664,-73.984,24
40.664,-73.985,17
40.789,-73.981,37
40.761,-73.526,1
40.711,-73.851,1
40.664,-73.986,4
40.933,-73.872,1
40.964,-73.72,1
40.664,-73.987,10
40.731,-73.712,1
40.711,-73.853,2
40.664,-73.988,13
40.836,-73.85,1
40.711,-73.854,1
40.825,-73.861,1
40.684,-73.848,2
40.664,-73.989,11
40.922,-73.886,1
40.711,-73.855,1
40.738,-73.796,1
40.847,-73.843,1
40.711,-73.858,1
40.825,-73.865,1
40.836,-73.855,1
40.847,-73.844,1
40.769,-73.648,1
40.82,-73.906,3
41.091,-73.723,1
40.693,-74.088,1
40.492,-74.443,1
40.652,-74.284,1
40.664,-73.99,12
40.73,-73.683,1
40.684,-73.85,1
40.664,-73.991,5
40.664,-73.992,10
40.664,-73.993,7
40.664,-73.994,5
40.664,-73.995,5
40.664,-73.996,6
40.664,-73.997,1
40.664,-73.998,1
40.825,-73.871,1
40.624,-74.114,1
41.528,-72.773,2
40.695,-73.848,1
40.82,-73.91,2
40.684,-73.859,1
40.695,-73.849,1
41.038,-73.702,1
40.731,-73.726,1
40.712,-73.9,2
40.847,-73.858,1
40.712,-73.906,1
40.739,-73.847,1
40.708,-73.999,2
40.739,-73.849,5
40.791,-74.151,1
40.684,-73.861,1
40.741,-74,150
40.695,-73.851,1
40.741,-74.001,141
40.741,-74.002,293
40.613,-74.131,1
40.7,-73.881,1
40.741,-74.003,48
40.71,-74.156,1
40.741,-74.004,107
40.741,-74.005,687
40.71,-74.157,1
40.741,-74.006,684
40.695,-73.856,1
40.741,-74.007,540
40.741,-74.008,746
40.711,-73.876,1
40.825,-73.883,3
40.741,-74.009,57
40.847,-73.863,1
40.7,-73.889,1
40.793,-73.918,1
40.793,-73.919,40
40.825,-73.888,1
40.739,-73.853,2
40.723,-73.902,2
40.836,-73.878,1
40.82,-73.927,1
40.739,-73.854,1
40.723,-73.903,1
40.82,-73.928,2
40.723,-73.905,1
40.739,-73.857,1
40.712,-73.918,2
40.739,-73.859,1
40.712,-73.919,1
40.723,-73.909,1
40.848,-73.906,4
40.848,-73.908,1
40.791,-74.163,1
40.58,-74.133,1
40.596,-74.086,1
40.695,-73.86,1
40.721,-74.152,1
40.752,-74,49
40.7,-73.89,1
41.04,-73.559,1
40.752,-74.001,39
41.026,-73.695,1
40.7,-73.891,2
40.752,-74.002,23
40.846,-74.151,1
40.7,-73.892,1
40.644,-73.673,1
40.752,-74.003,72
40.793,-73.92,1
40.793,-73.921,1
40.752,-74.004,174
40.793,-73.922,5
40.752,-74.005,190
40.825,-73.891,1
40.7,-73.895,2
40.752,-74.006,52
40.793,-73.923,8
40.633,-73.688,1
40.7,-73.896,1
40.753,-73.722,1
40.793,-73.924,3
40.752,-74.007,160
40.825,-73.892,4
40.7,-73.897,1
40.752,-74.008,28
40.753,-73.725,1
40.846,-74.158,1
40.836,-73.885,1
40.711,-73.889,2
40.723,-73.91,1
40.82,-73.935,1
40.82,-73.936,2
40.712,-73.923,3
40.82,-73.937,2
40.712,-73.924,94
40.836,-73.889,1
40.82,-73.938,2
40.82,-73.939,4
40.848,-73.912,1
40.859,-73.903,2
40.848,-73.914,1
40.712,-73.929,2
40.723,-73.919,1
40.859,-73.906,1
40.859,-73.908,1
40.71,-74.17,1
40.684,-73.88,1
40.684,-73.881,1
40.763,-74,5
40.763,-74.001,28
41.02,-74.029,1
41.048,-74.001,2
40.793,-73.933,1
40.741,-74.027,5
40.793,-73.934,1
40.741,-74.028,5
40.836,-73.891,1
40.82,-73.94,2
40.769,-73.684,2
40.741,-74.029,4
40.836,-73.893,1
40.82,-73.943,1
40.758,-73.697,1
40.793,-73.938,2
40.739,-73.871,1
40.82,-73.944,4
40.934,-73.951,1
40.793,-73.939,3
40.722,-74.206,1
40.723,-73.921,1
40.82,-73.945,4
40.82,-73.946,2
40.712,-73.934,1
40.82,-73.947,5
40.712,-73.935,4
40.712,-73.936,17
40.816,-74.359,3
40.739,-73.877,1
40.712,-73.937,3
40.739,-73.878,1
40.848,-73.923,1
40.712,-73.938,4
40.712,-73.939,4
40.848,-73.924,2
40.615,-73.919,1
40.89,-73.96,1
40.741,-74.03,30
40.741,-74.031,2
